Breed,Description
Scottish Fold Cat,"With just one look at the adorable Scottish Fold cat, it’s easy to see how this breed got its name! Not only are these kitties cute beyond compare, the breed is a family friendly one. Scottish Fold cats get along well with kids and other pets including friendly felines and well behaved dogs.
Gentle and playful, Scottish Fold cats are less rambunctious than many other breeds. They are happy to spend time simply enjoying your company, and they're likely to follow you throughout the house as you complete your daily routine.
If you're someone who is looking for a cat that likes to converse, consider a Scottish Fold. With far quieter voices then many other vocal breeds including the Siamese, these cats can develop quite an interesting vocabulary, which still use to express themselves and chat to you about everything from the level of food in their dish to the fact that it's time for you to wake up in the morning. Talk to a Scottish Fold, and you can expect quite a bit of chatter in return.
If you are hoping to bring a Scottish Fold kitten into your family, be prepared to spend a little bit of time on a waiting list. These kitties are very popular, yet they can be difficult to find. The good news is, Scottish Fold cats are such incredible companions, they are well worth the wait.
Scottish Fold cats enjoy company and dislike being left alone. Luckily, these kitties are perfectly happy with companionship from another animal on those days when you need to work or spend several hours per day away from home for another reason,. When you return, you can count on a happy greeting."
American Shorthair Cat,"Friendly, personable, and easy to care for, the American Shorthair cat shares many things in common with the domestic shorthair. The main difference is that American Shorthair cats always share common characteristics with one another, while domestic shorthair cats display various trades from the breeds in their backgrounds.
This can cause some confusion as the American Shorthair was originally named the Domestic Shorthair. The truth is, American Shorthair cats are a breed of their own!"
Kurilian Bobtail Cat,"With a thick, luxurious coat that's often beautifully marked to resemble a wildcat's fur, the Kurilian Bobtail cat is renowned for having a sweet, gentle nature. Like the breed's name suggests, Kurilian Bobtail cats have short to ultra-short bobtails. Kurilians have one of a kind tails. Sometimes compared with a snowflake or a fingerprint, no tail is identical to another.
Big, active, and intelligent, the Kurilian Bobtail cat has an intense play drive and a natural love for hunting. This breed is renowned for its fishing skill as well, so families with aquariums and tiny pets such as hamsters and guinea pigs will want to ensure that these vulnerable animals are kept far from the Kurilian Bobtail, which views all small creatures as prey to be captured.
Kurilian Bobtail cats typically get along very well with other cats, dogs, and children. They love to play, and anyone who is willing to spend time engaged in rousing games will automatically get this cat's undivided attention.
Despite its hunting prowess and high activity level, the Kurilian Bobtail cat loves to snuggle with its favorite person. These cats do have a tendency to choose a preferred companion, and they are also known to give other family members the cold shoulder when it's time to choose a lap for TV time or settle in at bedtime."
Himalayan Cat,"Is the Himalayan a Persian cat? Is the Colorpoint Persian the same as a Himalayan? The answer depends which registry the cat belongs to! Some organizations view the Himalayan – fondly nicknamed the ""Himmie"" – as a Persian variant rather than a separate breed. Others classify  the Himalayan cat as a breed of its own.
Himalayan Colorpoint Persian cats have pointed markings and gorgeous blue eyes like Siamese cats. At the same time, they possess long, silky coats like their Persian cousins. In addition, that Persian influence means Himalayan Colorpoint Persians typically have flat or shortened faces that contribute to their unique appearance.
Most Himalayan cats are incredibly sweet natured, with a fondness for cuddling up to their favorite people. Thanks to their Siamese heritage, these kitties tend to be a bit more playful than the average Persian. If you are looking for a cat that loves to lounge and you don't mind daily grooming sessions, then the Himalayan / Colorpoint Persian might be your perfect feline companion!"
Pixie-Bob Cat,"With a short tail and a wild appearance, the Pixie-Bob cat is certain to captivate your imagination while simultaneously capturing your heart. Even though these cats appear exotic, they are now 100% domestic: DNA testing has shown that contemporary Pixie-Bob cats have no wild bobcat blood.
Pixie-Bob cats are extremely friendly and sweet natured, with a fondness for all family members including kids, other cats, and well-behaved dogs. Speaking of dogs, many families who count Pixie-Bob cats as members compare them to canines in terms of personality. These kitties are loyal to a fault, and some of their favorite games are similar to the ones dogs enjoy. For example, Pixie-Bob cats love to play fetch, they enjoy walking on leashes once they learn how, and unlike most cats, they have a tendency to appreciate the opportunity to ride in the car alongside their family members.
If you're looking for a big, playful cat with an unusual appearance and an outstanding personality, the Pixie-Bob may be the companion you've been searching for."
Russian Blue Cat,"Also known as the Archangel Blue or Archangel Cat, the Russian Blue is a stunning feline, not to mention a marvelous companion. With soft, silky, short coats in various shades of silvery blue-gray, these kitties happily accompany their family members around the house, but are prone to hiding away when strangers visit.
The Russian Blue isn't much of a mischief maker. It's true that these cats will get into things during their kitten years, but once you've gently taught them which surfaces are theirs to sit on and which should be left alone, they'll generally stick to approved areas.
This isn't all they are capable of learning: Russian Blue cats are highly intelligent and will easily learn to open doors, play fetch, come when called, and more. This capability does not place them in the doglike cat category though; because they can be skittish and shy, Russian Blue cats do not typically take to leash training. They are far happier sticking to known quantities and spending time with their families.
If you bring a Russian Blue into your home, you'll have a steadfast companion with a fondness for daily routines and gentle cuddles, along with a fairly strong opinion about everything that takes place in the household. While their families are away at work, these kitties will happily nap instead of looking for ways to entertain themselves. They do learn to get along with other pets and they can appreciate respectful children, but they don't need constant companionship.
Beautiful, fairly self-sufficient, and friendly with people they've come to trust, Russian Blues make well-rounded pets and fit easily into a variety of living situations."
Japanese Bobtail Cat,"Playful, intelligent, and with an attitude that’s only a little demanding, the Japanese Bobtail cat is a rare breed with stunning looks, soft silky fur, and a melodious singsong voice.
If you're lucky enough to bring a Japanese Bobtail cat into your home, you'll have a friend for life. These cats are exceptionally loyal and loving, even though they believe that you live to serve them. They love to follow their favorite people around, meowing and tapping for attention, and bringing toys to ask for games of fetch that can seem to go on forever.
Japanese Bobtail cats are renowned for their friendliness. Many are so outgoing that they will even greet strangers like old friends. They love to be involved in everything, reading the same books you do, playing computer games and surfing the Internet together, and helping you with all of your projects, carrying on a conversation the entire time.
The breed's friendly nature doesn't just extend to humans: These cats typically enjoy the company of other felines and they will readily make friends with dogs as well.
Most depictions of the Japanese Bobtail cat show the Mi-Ke color variants, which is pronounced 'mee kay."" Mi-Ke is a unique tricolor pattern that is normally displayed by female cats. This is atrait that is shared with calico cats, which also display three colors in their coats.
Even though Mi-Ke (calico) is the best-known Japanese Bobtail cat color, these kitties can be of any shade and pattern including solid colors, van, tabby, and bi-color. Whatever your favorite cat color, it's likely that there's a Japanese Bobtail to match!"
British Shorthair Cat,"Once known as the British Blue and exclusively bred for blue-gray coloring, the British Shorthair cat now comes in a multitude of colors, but it retains its typical rounded profile and it's delightful – yet somewhat reserved – personality.
In a nutshell, British Shorthair cats are pedigreed versions of British domestic shorthair cats that have been selectively bred over time to create a distinctive appearance and predictable personality traits.
These cats love their families and enjoy staying close, but they aren't big on cuddling. They prefer to lounge next to you rather than occupying your lap, and they aren't terribly demanding or overly vocal. British Shorthair cats make excellent pets for most households, but they don't tolerate disrespect, and they don't like to be held or carried.
These traits don’t add up to a mean or antisocial personality; instead, they’re an indicator that the British Shorthair may not be ideal for families with young children who aren't yet able to understand boundaries."
Balinese Cat,The Ojos Azules cat breed standard was eliminated when breeding was suspended. The last known TICA breed standard for Ojos Azules cats was dated 2004; no other registry provides a standard.
Cornish Rex Cat,"With their soft, curly coats and slim, elegant frames, Cornish Rex cats are completely different from other breeds. These delightful felines require a little bit of special care to keep their velvety fur in tip-top shape; in return, they offer their owners an abundance of affection. Cornish Rex cats are playful and active, with extroverted personalities.
They love to be in the middle of everything, and they have a tendency to make friends with everyone they encounter. If you're looking for a lap cat, you're in luck! The Cornish Rex loves to cuddle – partly because their short, downy coat simply doesn't hold much heat and partly because the breed is exceptionally sociable."
Sphynx Cat,"If you’re looking for a friendly cat with a big personality, the Sphynx might be ideal. Bonus points if you’re hoping for a pet that doesn’t shed, as these hairless cats are either completely hairless or are covered in the barest layer of fine, velvety down.
With bold features and an intense gaze, the Sphynx may not appear to be the friendliest cat on the planet, but don’t let this kitty’s looks deceive you! The Sphynx is a gregarious, personable cat with lots of love to share with everyone, including strangers and other pets. Quick to greet their family members at the door and just as fast to hop under the covers when bedtime arrives, Sphynx cats take every possible opportunity to socialize.
Without adequate companionship, the Sphynx quickly becomes despondent, bored, and destructive. These kitties absolutely hate to be left alone, and while they’re spending time with you, they have a tendency to offer unsolicited help and advice. Loud meows can give way to unrelenting wails if you try to confine a Sphynx to its own space, making these cats unsuitable for families that don’t want a high level of involvement from their pet.
Last but not least, Sphynx cats need to be kept warm and protected from the elements. These cats can’t live outdoors where they’ll suffer from sunburn and windburn, and even inside, they look for the warmest possible place to rest. Offer a heated cat bed, and you’ll know exactly where to find your Sphynx when it’s time to play."
Burmese Cat,"Burmese cats are accomplished conversationalists in sleek, soft packages. These gorgeous kitties are direct descendants of Siamese cats, which explains their chatty nature; however, their voices are softer and less demanding.
Just like their cousins, Burmese cats are playful, energetic, and highly intelligent. They're extremely sociable and they love to snuggle. In fact, these kitties are so affectionate that the National Alliance of Burmese Breeders (NABB) has nicknamed them the ""ultimate companion cats.""
There are two types of Burmese cats: American and European. The American Burmese is stockier, with a broader head, a shorter muzzle, and distinct rounded eyes. The European version, also called the British Burmese, has a long muzzle, a wedge-shaped head, and eyes that are distinctly slanted."
German Rex Cat,"If you've been searching for a highly intelligent cat, the German Rex might be the perfect breed for you. These cats are so smart that they've been nicknamed the ""Einsteins of the cat world."" This trait makes the German Rex a lot of fun to live with: This kitty takes very well to training, easily picking up new tricks and amusing family members with innovative antics.
Because German Rex cats are so intelligent, they require plenty of toys. Puzzle games are favorites, and they thrive with lots of interactive play using everything from bits of crumpled paper to feathered wands. Without adequate stimulation, these kitties can get into quite a bit of trouble, poking their noses into cabinets and showing you what gravity is all about by knocking cherished decorative objects off high shelves.
Some of the world's smartest cats can be a bit standoffish. Luckily, the German Rex is as affectionate as it is intellectual. These kitties live for attention from their favorite humans and they enjoy cuddling when they're not busy playing. They get along well with everyone in the family, including other cats and well- behaved dogs."
Turkish Vankedisi Cat,"Stunning white cats with silky coats, Turkish Vankedisi cats offer more than just great looks: These kitties are friendly and personable, but not quite so clingy as some other breeds such as the Oriental Shorthair.
Turkish Vankedisi cats are incredibly intelligent. They are fond of attention and one of their favorite ways to get it is by encouraging their human friends to play. Don't be surprised if your kitty presents you with a favorite toy in hopes of getting you involved in a game of fetch!
Turkish Vankedisi cats have a tendency to pick a single family member as their favorite, however they are likely to make friends with everyone in the house, including other pets.
Although these kitties look as if they'd rather not muss up their coats, they are athletes at heart. Turkish Vankedisi cats are renowned for their jumping and climbing abilities, and they are exceptional hunters when given the opportunity. In addition, there one of the few breeds that takes very well to leash training. If you've ever wanted to walk your cat through the neighborhood, a Turkish Vankedisi will be happy to accompany you."
European Shorthair Cat,"A friendly, fun-loving feline that's a favorite with families throughout Europe and beyond, the European Shorthair cat is accurately described as the pedigreed version of Europe's domestic shorthair cats.
These cats are extremely docile, with a reputation for making friends with children and other pets including well-behaved dogs and non-dominant cats. It is worth noting that European Shorthair cats are individuals with a wide range of personality traits. They have a reputation for being somewhat territorial, so families with multiple cats should place an even stronger emphasis on finding a cat with a compatible personality when choosing a housemate for the cats already in their homes.
Although they are playful, European Shorthair cats are equally fond of sleep. If you bring one of these kitties into your home, rest assured that you'll find them napping cozily anywhere they can make themselves comfortable. Often, they will make their way onto a human companion's warm lap for an extended lounge session. Thanks to their cuddly nature, European Shorthair cats are perfect for anyone who enjoys opportunities to relax with a furry friend."
California Spangled Cat Cat,"Fondly referred to as the house leopard, the California Spangled cat has a friendly, outgoing personality that is in direct contrast to its wild appearance.
As beautiful and as wonderfully good-natured as they are, this breed remains exceptionally rare - so much so that it is at risk of extinction. Count yourself lucky if a California Spangled cat finds its way into your home and your heart!"
Donskoy Cat,"Also known as the Russian Hairless or Don Sphynx, the Donskoy cat is a playful, affectionate companion with a reputation for cuddling up with family members - particularly during the cooler months!
Donskoy cats are even-tempered individuals, well-known for their ability to make friends with anyone who seems interested. Their sociable, friendly nature makes them ideal for families with kids and other pets.
The Don Sphynx / Donskoy cat comes with a mischievous side and a built-in sense of curiosity. Climbing, opening cupboards, and investigating the contents of bags and boxes are just a few special talents displayed by these adorable, intelligent felines."
Serengeti Cat,"Despite its exotic-sounding name, the Serengeti Cat is 100% domestic. These beautiful, playful cats were developed by crossing Bengal cats with Oriental Shorthairs. If you've been on the fence about which breed is your favorite, the Serengeti might be ideal for you as it brings so many positive traits together.
As you might expect, this long-legged kitty is an exceptional athlete that thrives in an atmosphere where activities such as jumping and climbing are supported. The Serengeti cat's ideal family provides plenty of high perches that allow for a great view of everything that's happening, and they understand the importance of keeping important items out of reach. These curious cats do not make a distinction between their toys and your keepsakes, so be sure to keep those collectibles secured. Like the Oriental Shorthair, the Serengeti Cat has nimble toes that are perfect for opening cupboards and drawers. Childproof locks might thwart their efforts at inspecting cabinet interiors, however these kitties are highly intelligent and can sometimes find their way into places that surprise their families.
Besides having the ability to get into everything, Serengeti cats can learn how to turn on faucets, sometimes making it necessary to swap lever style handles for knobs. Luckily, these kitties are capable of learning more desirable tricks. If you ever wanted to play fetch with a cat, the Serengeti might be your ideal companion.
Speaking of companionship, Serengetis do not like to be left alone. These cats thrive on attention, whether it's from their human family members, other cats, or friendly dogs. They do take some time to warm up to new people and new animals, but once they make friends, they're wonderfully loyal and exceptionally chatty."
Selkirk Rex Cat,"Nicknamed “The cat in sheep's clothing,” the Selkirk Rex is an adorable, woolly-haired feline with a unique personality. With a bit of an independent streak, this might not the best breed for someone who's looking for a traditional lap cat; even so, the Selkirk Rex generally has a calm demeanor and does enjoy human companionship.
Friendly and inquisitive, these cats enjoy napping and once they've completed their kitten years, they have a good reputation for keeping out of trouble. At the same time, they exhibit a wonderfully playful side, and will happily entertain you with their silly antics.
Despite their disdain for long cuddling sessions, Selkirk Rex cats don't like to be left alone for long periods of time. They prefer to spend their time in the company of others, whether snuggling up to watch TV with their human companions or napping alongside another cat.
It’s well worth mentioning that not all members of the Selkirk Rex breed have the same personality traits. Some breeders have outcrossed with Persians, Exotics, British Shorthairs, and American Shorthairs, resulting in cats with adorable curly coats and extremely docile personalities."
Snowshoe Cat,"Adorable white feet give the Snowshoe cat its name, and distinctive white markings in the shape of an upside down “V” adorn its muzzle. Cuteness isn't the only thing that makes the Snowshoe such a wonderful cat: This breed absolutely loves people. In fact, Snowshoes are among the friendliest cats! While they do have a tendency to choose one person as their absolute favorite, they like everyone and readily make friends with new people shortly after being introduced.
Expect lots of fun and games if you bring a Snowshoe cat into your family. These kitties are curious and playful, and they like nothing quite so much as spending plenty of quality time with their favorite people. They'll help you with all sorts of tasks from typing to cleaning and when it's time to cook dinner or wash dishes, they happily provide advice from a nearby vantage point - perhaps a high place like the top of the refrigerator.
Snowshoe cats are expert cuddlers, too. If you have room on your lap, they'll take advantage of the opportunity to curl up for a movie or a bit of reading. At bedtime, they're likely to stretch out beside you, perhaps sliding under the covers or sharing your pillow.
Just like other breeds with lots of Siamese in their background, the Snowshoe cat requires lots of attention and becomes terribly unhappy if left alone for long periods of time. If boredom sets in, these kitties may develop unwanted behaviors and vocalize loudly. Fortunately, Snowshoe cats get along very well with other felines. If your family can't always be around, a second cat can help prevent loneliness and the destructive habits that can come with it.
Thanks to their outgoing, agreeable personalities, Snowshoe cats can be a great fit for any family with lots of love and attention to give."
Dragon Li Cat,"Also known as the Chinese Li Hua and nickname to the Chinese Fox Flower cat, the Dragon Li cat is an ancient purebred with a distinct wild appearance. Just like their wild ancestors, these cats are known for their independence and intelligence. At the same time, they are loyal to their families, with a playful streak a mile wide.
If you bring a Dragon Li cat into your family, you will be rewarded with plenty of fun and games. Unfortunately for those who prefer lap cats, this particular breed isn't at all fond of snuggling. In fact, these cats can become anxious when they aren't given time and space to themselves.
Dragon Li cats appreciate the outdoors and are outstanding hunters. They are at their happiest when allowed access to safely enclosed outdoor spaces such as catios, and when they are taught to walk on a leash from a young age.
It’s very important to note that these unique felines do not enjoy small, confining indoor spaces. While most cats are perfectly happy to share an apartment with an attentive human family, the Dragon Li cat needs a big house with lots of room to roam if it is kept completely indoors. Clearly, this cat requires special circumstances and isn't the best breed for everyone."
